iter	Passed	Remaining
171	3823	18407
172	3844	18377
173	3867	18360
174	3891	18344
175	3914	18329
176	3935	18300
177	3956	18272
178	3983	18268
179	4005	18247
180	4025	18216
181	4051	18211
182	4075	18196
183	4107	18215
184	4130	18197
185	4155	18187
186	4180	18174
187	4203	18156
188	4224	18126
189	4244	18093
190	4262	18055
191	4282	18024
192	4304	17999
193	4324	17965
194	4344	17934
195	4363	17901
196	4384	17870
197	4404	17840
198	4423	17804
199	4441	17766
200	4460	17730
201	4479	17696
202	4499	17665
203	4521	17641
204	4539	17604
205	4561	17582
206	4580	17546
207	4599	17514
208	4619	17482
209	4639	17452
210	4659	17422
211	4679	17395
212	4700	17367
213	4719	17335
214	4741	17310
215	4761	17282
216	4780	17249
217	4798	17213
218	4819	17185
219	4839	17157
220	4858	17124
221	4875	17087
222	4894	17055
223	4913	17023
224	4933	16992
225	4954	16966
226	4973	16935
227	4994	16911
228	5013	16880
229	5033	16850
230	5052	16819
231	5072	16792
232	5102	16797
233	5129	16790
234	5151	16770
235	5176	16757
236	5202	16748
237	5227	16738
238	5249	16714
239	5270	16688
240	5290	16662
241	5311	16635
242	5331	16607
243	5353	16588
244	5378	16573
245	5397	16544
246	5417	16517
247	5437	16489
248	5457	16461
249	5478	16436
250	5498	16407
251	5519	16384
252	5542	16364
253	5562	16337
254	5581	16307
255	5604	16288
256	5627	16268
257	5647	16240
258	5666	16211
259	5690	16195
260	5711	16172
261	5732	16146
262	5754	16124
263	5774	16099
264	5795	16074
265	5816	16050
266	5837	16025
267	5857	15999
268	5878	15973
269	5897	15946
270	5920	15926
271	5942	15906
272	5963	15881
273	5985	15860
274	6006	15835
275	6028	15814
276	6051	15795
277	6074	15777
278	6096	15753
279	6119	15736
280	6147	15728
281	6175	15722
282	6199	15706
283	6223	15688
284	6245	15668
285	6266	15643
286	6287	15619
287	6307	15593
288	6327	15567
289	6348	15543
290	6369	15519
291	6389	15492
292	6410	15468
293	6430	15442
294	6451	15419
295	6472	15394
296	6493	15369
297	6515	15347
298	6536	15323
299	6558	15302
300	6578	15277
301	6602	15259
302	6625	15239
303	6651	15227
304	6676	15214
305	6699	15193
306	6722	15174
307	6746	15158
308	6771	15143
309	6797	15129
310	6820	15110
311	6844	15092
312	6865	15068
313	6887	15047
314	6909	15026
315	6932	15006
316	6955	14986
317	6977	14964
318	7000	14944
319	7025	14929
320	7048	14909
321	7080	14908
322	7115	14914
323	7143	14904
324	7172	14896
325	7196	14878
326	7222	14865
327	7246	14846
328	7270	14828
329	7293	14807
330	7312	14780
331	7332	14752
332	7353	14728
333	7374	14705
334	7396	14682
335	7416	14655
336	7436	14630
337	7456	14604
338	7475	14576
339	7496	14551
340	7522	14537
341	7544	14516
342	7567	14494
343	7590	14474
344	7609	14447
345	7630	14423
346	7653	14401
347	7673	14375
348	7693	14350
349	7716	14330
350	7738	14309
351	7762	14289
352	7782	14264
353	7803	14239
354	7823	14215
355	7845	14193
356	7866	14167
357	7886	14142
358	7905	14116
359	7925	14090
360	7948	14068
361	7969	14045
362	7990	14022
363	8011	13997
364	8032	13973
365	8053	13949
366	8087	13949
367	8118	13943
368	8146	13929
369	8169	13910
370	8194	13893
371	8216	13871
372	8237	13847
373	8262	13829
374	8285	13809
375	8307	13786
376	8330	13765
377	8350	13741
378	8370	13714
379	8393	13694
380	8411	13666
381	8430	13638
382	8449	13611
383	8468	13585
384	8489	13560
385	8508	13534
386	8528	13508
387	8549	13486
388	8571	13463
389	8591	13438
390	8609	13410
391	8629	13384
392	8647	13356
393	8666	13329
394	8685	13303
395	8704	13276
396	8722	13249
397	8741	13221
398	8760	13194
399	8781	13172
400	8803	13149
401	8822	13124
402	8844	13101
403	8865	13078
404	8886	13056
405	8907	13032
406	8928	13008
407	8959	13000
408	8984	12982
409	9009	12964
410	9034	12947
411	9060	12930
412	9096	12928
413	9124	12914
414	9155	12905
415	9182	12890
416	9212	12879
417	9241	12867
418	9271	12856
419	9299	12842
420	9324	12823
421	9351	12808
422	9376	12790
423	9403	12774
424	9422	12748
425	9444	12725
426	9466	12703
427	9489	12682
428	9511	12659
429	9535	12639
430	9562	12624
431	9586	12604
432	9607	12581
433	9629	12558
434	9652	12536
435	9674	12514
436	9695	12490
437	9716	12467
438	9740	12446
439	9762	12424
440	9783	12401
441	9805	12378
442	9832	12362
443	9855	12341
444	9879	12322
445	9905	12304
446	9930	12285
447	9956	12267
448	9978	12245
449	9999	12221
450	10021	12199
451	10042	12175
452	10062	12150
453	10086	12129
454	10109	12109
455	10132	12087
456	10164	12077
457	10198	12068
458	10227	12054
459	10260	12044
460	10287	12028
461	10313	12009
462	10339	11992
463	10362	11970
464	10385	11949
465	10405	11924
466	10426	11900
467	10447	11876
468	10467	11851
469	10489	11828
470	10509	11803
471	10531	11781
472	10554	11758
473	10574	11734
474	10595	11711
475	10616	11686
476	10637	11663
477	10659	11640
478	10680	11617
479	10701	11592
480	10723	11570
481	10744	11546
482	10764	11522
483	10786	11499
484	10808	11476
485	10830	11454
486	10852	11432
487	10873	11408
488	10896	11386
489	10918	11364
490	10941	11342
491	10965	11321
492	10985	11297
493	11006	11273
494	11029	11252
495	11050	11228
496	11073	11207
497	11103	11193
498	11134	11179
499	11164	11164
500	11192	11147
501	11213	11124
502	11234	11100
503	11259	11080
504	11284	11061
505	11306	11038
506	11330	11017
507	11354	10996
508	11377	10974
509	11402	10955
510	11426	10934
511	11448	10912
512	11470	10889
513	11495	10869
514	11519	10848
515	11544	10828
516	11569	10808
517	11591	10786
518	11613	10763
519	11638	10742
520	11657	10718
521	11678	10693
522	11699	10670
523	11719	10646
524	11740	10622
525	11760	10598
526	11780	10573
527	11800	10548
528	11820	10524
529	11841	10500
530	11862	10477
531	11881	10451
532	11902	10428
533	11922	10404
534	11942	10379
535	11964	10357
536	11985	10334
537	12007	10311
538	12026	10286
539	12047	10262
540	12075	10245
541	12119	10241
542	12153	10228
543	12189	10218
544	12222	10203
545	12255	10190
546	12279	10169
547	12303	10148
548	12329	10128
549	12351	10105
550	12377	10085
551	12400	10063
552	12423	10041
553	12444	10018
554	12465	9994
555	12490	9974
556	12512	9951
557	12532	9927
558	12554	9904
559	12575	9880
560	12595	9856
561	12616	9833
562	12638	9809
563	12659	9786
564	12679	9761
565	12698	9737
566	12719	9713
567	12741	9690
568	12762	9667
569	12783	9643
570	12803	9619
571	12824	9595
572	12843	9571
573	12866	9548
574	12886	9525
575	12908	9502
576	12928	9477
577	12948	9453
578	12971	9431
579	12995	9410
580	13017	9387
581	13040	9365
582	13064	9344
583	13092	9326
584	13117	9305
585	13150	9290
586	13182	9275
587	13208	9255
588	13235	9235
589	13256	9212
590	13276	9188
591	13297	9164
592	13317	9140
593	13336	9115
594	13356	9091
595	13375	9066
596	13394	9041
597	13414	9017
598	13433	8993
599	13452	8968
600	13471	8943
601	13490	8919
602	13510	8895
603	13532	8872
604	13550	8847
605	13570	8822
606	13589	8798
607	13608	8773
608	13630	8751
609	13650	8727
610	13669	8702
611	13688	8678
612	13707	8653
613	13729	8631
614	13748	8606
615	13769	8583
616	13789	8559
617	13807	8534
618	13825	8509
619	13845	8486
620	13864	8461
621	13884	8437
622	13902	8413
623	13921	8388
624	13944	8366
625	13965	8343
626	13989	8322
627	14014	8301
628	14034	8277
629	14053	8253
630	14076	8231
631	14097	8208
632	14116	8184
633	14139	8162
634	14161	8140
635	14185	8119
636	14212	8098
637	14237	8078
638	14263	8058
639	14290	8038
640	14312	8015
641	14332	7992
642	14362	7974
643	14388	7953
644	14418	7935
645	14442	7914
646	14466	7893
647	14491	7871
648	14514	7850
649	14539	7829
650	14560	7805
651	14581	7782
652	14603	7760
653	14626	7737
654	14648	7715
655	14670	7692
656	14692	7670
657	14716	7648
658	14738	7626
659	14762	7605
660	14790	7585
661	14810	7562
662	14830	7538
663	14850	7514
664	14869	7490
665	14888	7466
666	14908	7443
667	14931	7420
668	14952	7398
669	14972	7374
670	14994	7351
671	15014	7328
672	15032	7304
673	15052	7280
674	15077	7259
675	15098	7236
676	15116	7212
677	15135	7188
678	15154	7164
679	15180	7143
680	15199	7119
681	15220	7096
682	15240	7073
683	15261	7050
684	15280	7026
685	15299	7002
686	15318	6979
687	15338	6955
688	15359	6933
689	15378	6909
690	15398	6885
691	15418	6862
692	15438	6839
693	15458	6816
694	15478	6792
695	15498	6769
696	15519	6746
697	15539	6723
698	15560	6700
699	15581	6677
700	15600	6654
701	15620	6630
702	15639	6607
703	15658	6583
704	15676	6559
705	15695	6536
706	15715	6513
707	15736	6490
708	15754	6466
709	15774	6443
710	15794	6420
711	15814	6396
712	15834	6373
713	15854	6350
714	15873	6327
715	15894	6304
716	15915	6281
717	15935	6258
718	15955	6235
719	15980	6214
720	16004	6193
721	16024	6170
722	16051	6149
723	16082	6130
724	16106	6109
725	16131	6088
726	16154	6066
727	16186	6047
728	16211	6026
729	16236	6005
730	16263	5984
731	16288	5963
732	16310	5941
733	16327	5917
734	16346	5893
735	16367	5870
736	16386	5847
737	16406	5824
738	16425	5801
739	16446	5778
740	16466	5755
741	16487	5732
742	16579	5734
743	16615	5717
744	16636	5694
745	16657	5671
746	16675	5647
747	16694	5624
748	16714	5601
749	16733	5577
750	16754	5555
751	16776	5532
752	16796	5509
753	16815	5486
754	16835	5463
755	16854	5439
756	16877	5417
757	16899	5395
758	16919	5372
759	16940	5349
760	16959	5326
761	16979	5303
762	16999	5280
763	17020	5257
764	17040	5234
765	17058	5211
766	17079	5188
767	17099	5165
768	17120	5142
769	17139	5119
770	17162	5097
771	17190	5076
772	17216	5055
773	17239	5033
774	17268	5013
775	17293	4991
776	17313	4969
777	17334	4946
778	17352	4922
779	17370	4899
780	17389	4876
781	17408	4853
782	17429	4830
783	17452	4808
784	17483	4788
785	17506	4766
786	17531	4744
787	17556	4723
788	17579	4701
789	17601	4678
790	17625	4657
791	17647	4634
792	17669	4612
793	17691	4589
794	17712	4567
795	17733	4544
796	17755	4522
797	17779	4500
798	17801	4478
799	17826	4456
800	17850	4434
801	17876	4413
802	17896	4390
803	17916	4367
804	17936	4344
805	17957	4322
806	17976	4299
807	17995	4276
808	18015	4253
809	18036	4230
810	18056	4208
811	18076	4185
812	18096	4162
813	18114	4139
814	18134	4116
815	18157	4094
816	18182	4072
817	18207	4051
818	18232	4029
819	18261	4008
820	18301	3990
821	18330	3969
822	18353	3947
823	18375	3924
824	18396	3902
825	18415	3879
826	18436	3856
827	18462	3835
828	18483	3812
829	18503	3789
830	18525	3767
831	18543	3744
832	18565	3722
833	18585	3699
834	18605	3676
835	18623	3653
836	18642	3630
837	18662	3607
838	18684	3585
839	18707	3563
840	18729	3540
841	18749	3518
842	18767	3495
843	18786	3472
844	18806	3449
845	18826	3427
846	18846	3404
847	18865	3381
848	18885	3358
849	18903	3335
850	18924	3313
851	18943	3290
852	18961	3267
853	18981	3245
854	18999	3222
855	19018	3199
856	19037	3176
857	19057	3154
858	19076	3131
859	19100	3109
860	19120	3086
861	19141	3064
862	19165	3042
863	19191	3020
864	19216	2999
865	19240	2977
866	19268	2955
867	19295	2934
868	19319	2912
869	19341	2890
870	19361	2867
871	19380	2844
872	19399	2822
873	19418	2799
874	19440	2777
875	19461	2754
876	19482	2732
877	19504	2710
878	19523	2687
879	19541	2664
880	19560	2642
881	19579	2619
882	19599	2597
883	19623	2574
884	19644	2552
885	19664	2530
886	19686	2507
887	19705	2485
888	19724	2462
889	19753	2441
890	19774	2419
891	19798	2397
892	19823	2375
893	19851	2353
894	19874	2331
895	19900	2309
896	19922	2287
897	19942	2265
898	19965	2243
899	19987	2220
900	20009	2198
901	20032	2176
902	20054	2154
903	20075	2131
904	20101	2110
905	20125	2088
906	20148	2065
907	20170	2043
908	20190	2021
909	20209	1998
910	20230	1976
911	20249	1953
912	20270	1931
913	20291	1909
914	20312	1886
915	20333	1864
916	20352	1842
917	20372	1819
918	20394	1797
919	20416	1775
920	20438	1753
921	20464	1731
922	20484	1708
923	20504	1686
924	20526	1664
925	20546	1641
926	20568	1619
927	20587	1597
928	20608	1575
929	20629	1552
930	20652	1530
931	20677	1508
932	20698	1486
933	20719	1464
934	20745	1442
935	20767	1420
936	20788	1397
937	20808	1375
938	20829	1353
939	20851	1330
940	20872	1308
941	20893	1286
942	20914	1264
943	20933	1241
944	20956	1219
945	20977	1197
946	20997	1175
947	21017	1152
948	21039	1130
949	21059	1108
950	21080	1086
951	21101	1063
952	21121	1041
953	21145	1019
954	21166	997
955	21189	975
956	21212	953
957	21235	930
958	21255	908
959	21277	886
960	21297	864
961	21317	842
962	21337	819
963	21357	797
964	21378	775
965	21402	753
966	21423	731
967	21443	708
968	21465	686
969	21486	664
970	21509	642
971	21535	620
972	21560	598
973	21586	576
974	21614	554
975	21639	532
976	21663	509
977	21683	487
978	21703	465
979	21723	443
980	21747	421
981	21767	399
982	21789	376
983	21811	354
984	21831	332
985	21852	310
986	21874	288
987	21897	265
988	21921	243
989	21943	221
990	21965	199
991	21988	177
992	22015	155
993	22048	133
994	22074	110
995	22099	88
996	22129	66
997	22153	44
998	22178	22
999	22203	0
